time x1 y1 x2 y2
0.000000000000000000e+00 4.000000000000000222e-01 -2.449293598294706538e-17 8.000000000000000444e-01 -4.898587196589413075e-17
1.000000000000000021e-02 3.999997911544171392e-01 -4.087498289841978282e-04 7.999997911544172169e-01 -4.087500133740590638e-04
2.000000000000000042e-02 3.999959568000389654e-01 -1.798483700620042260e-03 7.999959568000385435e-01 -1.798503238872860201e-03
2.999999999999999889e-02 3.999782732510055450e-01 -4.169043912454509400e-03 7.999782732509279626e-01 -4.169293213407481921e-03
4.000000000000000083e-02 3.999293101442606413e-01 -7.519766454871819675e-03 7.999293101414164386e-01 -7.521274870957034460e-03
5.000000000000000278e-02 3.998244675795888381e-01 -1.184884486767877332e-02 7.998244675338466170e-01 -1.185489414605811649e-02
5.999999999999999778e-02 3.996320736057696887e-01 -1.715242681234009289e-02 7.996320731682753369e-01 -1.717113497832113353e-02
7.000000000000000666e-02 3.993135880687639916e-01 -2.342345797805020502e-02 7.993135851427306537e-01 -2.347184006804989287e-02
8.000000000000000167e-02 3.988239697546118734e-01 -3.065030422642558636e-02 7.988239546861233276e-01 -3.076009853728774515e-02
8.999999999999999667e-02 3.981122701783290641e-01 -3.881520750243560441e-02 7.981122066257529957e-01 -3.904068933500292465e-02
1.000000000000000056e-01 3.971225160770266438e-01 -4.789266357858709688e-02 7.971222872032567297e-01 -4.832056422543395957e-02
1.100000000000000006e-01 3.957949299605900140e-01 -5.784784712927239225e-02 7.957942051025798103e-01 -5.860934951454158798e-02
1.199999999999999956e-01 3.940675108087409728e-01 -6.863524550114789846e-02 7.940654480653581704e-01 -6.991984288994965158e-02
1.300000000000000044e-01 3.918779542256525805e-01 -8.019768694867301928e-02 7.918725939456294771e-01 -8.226848275848566705e-02
1.400000000000000133e-01 3.891658361884831052e-01 -9.246595018556158507e-02 7.891529572725322073e-01 -9.567577368448451636e-02
1.499999999999999944e-01 3.858749253922039713e-01 -1.053591094949128948e-01 7.858460336381274391e-01 -1.101666627736336002e-01
1.600000000000000033e-01 3.819554393428732375e-01 -1.187856992924347516e-01 7.818944438388524265e-01 -1.257708752218654191e-01
1.700000000000000122e-01 3.773660337482494520e-01 -1.326456805671223094e-01 7.772440577485513202e-01 -1.425232269028273435e-01
1.799999999999999933e-01 3.720753248364961352e-01 -1.468330774989610454e-01 7.718430071901010159e-01 -1.604639302099011566e-01
1.900000000000000022e-01 3.660627925275925509e-01 -1.612390521148669154e-01 7.656393758985744480e-01 -1.796388896568874016e-01
2.000000000000000111e-01 3.593189898763650136e-01 -1.757551237211271988e-01 7.585774647857049802e-01 -2.000999427401295716e-01
2.099999999999999922e-01 3.518450724844573996e-01 -1.902762333251500071e-01 7.505926428713619591e-01 -2.219049403891551198e-01
2.200000000000000011e-01 3.436517392035970397e-01 -2.047034004171472965e-01 7.416048795430302265e-01 -2.451174832841798990e-01
2.300000000000000100e-01 3.347577255763970472e-01 -2.189458041774668406e-01 7.315110958108067551e-01 -2.698060362614579932e-01
2.399999999999999911e-01 3.251880069878199109e-01 -2.329222190158971861e-01 7.201764750723593789e-01 -2.960420263684926390e-01
2.500000000000000000e-01 3.149718527758407771e-01 -2.465618217789488087e-01 7.074248653482840821e-01 -3.238963737128267573e-01
2.600000000000000089e-01 3.041408361841520525e-01 -2.598044490866250888e-01 6.930284381503949431e-01 -3.534336808304830435e-01
2.700000000000000178e-01 2.927268612481556675e-01 -2.726004121489969956e-01 6.766969294231519605e-01 -3.847029845801803183e-01
2.800000000000000266e-01 2.807602286304837769e-01 -2.849099752893157200e-01 6.580672098276321158e-01 -4.177235361176241391e-01
2.899999999999999800e-01 2.682677377804271734e-01 -2.967025798104425127e-01 6.366948247669388383e-01 -4.524635555862553948e-01
2.999999999999999889e-01 2.552708208313134164e-01 -3.079558540312352655e-01 6.120508099733250607e-01 -4.888094947129369428e-01
3.099999999999999978e-01 2.417837332906855596e-01 -3.186543994926457346e-01 5.835298574153159334e-01 -5.265235570071571392e-01
3.200000000000000067e-01 2.278118982605800424e-01 -3.287882890416128356e-01 5.504798319313691790e-01 -5.651892293540896617e-01
