time x1 y1 x2 y2
0.000000000000000000e+00 3.999997524043070185e-01 -4.450578536722882457e-04 7.999447734796858445e-01 6.186692821290834532e-03
1.000000000000000021e-03 3.999997452914324514e-01 -4.514053490725242418e-04 7.999441650173209073e-01 6.216512626008148523e-03
2.000000000000000042e-03 3.999997238481476369e-01 -4.700227714445675219e-04 7.999435389318050316e-01 6.234063768069167052e-03
3.000000000000000062e-03 3.999996863610082998e-01 -5.009102664230587719e-04 7.999428935067507407e-01 6.239346255237480238e-03
4.000000000000000083e-03 3.999996299873075922e-01 -5.440680261273367129e-04 7.999422258947515019e-01 6.232360149176519384e-03
5.000000000000000104e-03 3.999995507549952700e-01 -5.994962902275305199e-04 7.999415321171895465e-01 6.213105568258136743e-03
6.000000000000000125e-03 3.999994435625739420e-01 -6.671953471502871250e-04 7.999408070640019464e-01 6.181582691203367681e-03
7.000000000000000146e-03 3.999993021789696734e-01 -7.471655354236449208e-04 7.999400444934015031e-01 6.137791761555521849e-03
8.000000000000000167e-03 3.999991192433762777e-01 -8.394072451617083392e-04 7.999392370315517864e-01 6.081733092985272884e-03
9.000000000000001055e-03 3.999988862650712407e-01 -9.439209196892318909e-04 7.999383761721925445e-01 6.013407075428715484e-03
1.000000000000000021e-02 3.999985936232008932e-01 -1.060707057305765961e-03 7.999374522762137119e-01 5.932814182059049056e-03
1.099999999999999936e-02 3.999982305665338300e-01 -1.189766213190594606e-03 7.999364545711754593e-01 5.839954977091036184e-03
1.200000000000000025e-02 3.999977852131788580e-01 -1.331099001447377025e-03 7.999353711507701803e-01 5.734830124421046171e-03
1.300000000000000114e-02 3.999972445502652518e-01 -1.484706097290398744e-03 7.999341889742235256e-01 5.617440397100639284e-03
1.400000000000000029e-02 3.999965944335827639e-01 -1.650588239371033553e-03 7.999328938656314891e-01 5.487786687647240938e-03
1.499999999999999944e-02 3.999958195871777811e-01 -1.828746232246194082e-03 7.999314705132294367e-01 5.345870019190778269e-03
1.600000000000000033e-02 3.999949036029024629e-01 -2.019180948988209823e-03 7.999299024685879722e-01 5.191691557457792615e-03
1.700000000000000122e-02 3.999938289399133096e-01 -2.221893333937060688e-03 7.999281721457328631e-01 5.025252623595080972e-03
1.800000000000000211e-02 3.999925769241146623e-01 -2.436884405595406925e-03 7.999262608201838098e-01 4.846554707832540290e-03
1.899999999999999953e-02 3.999911277475444171e-01 -2.664155259666844099e-03 7.999241486279072832e-01 4.655599483987933780e-03
2.000000000000000042e-02 3.999894604676961229e-01 -2.903707072237925874e-03 7.999218145641775468e-01 4.452388824814628755e-03
2.100000000000000130e-02 3.999875530067737439e-01 -3.155541103104755191e-03 7.999192364823424217e-01 4.236924818194078880e-03
2.199999999999999872e-02 3.999853821508739804e-01 -3.419658699244689827e-03 7.999163910924863563e-01 4.009209784175130770e-03
2.299999999999999961e-02 3.999829235490913182e-01 -3.696061298434320276e-03 7.999132539599859149e-01 3.769246292862276498e-03
2.400000000000000050e-02 3.999801517125400885e-01 -3.984750433013903824e-03 7.999097995039509135e-01 3.517037183155128852e-03
2.500000000000000139e-02 3.999770400132884873e-01 -4.285727733800105341e-03 7.999060009955455408e-01 3.252585582341972065e-03
2.600000000000000228e-02 3.999735606831977819e-01 -4.598994934147023969e-03 7.999018305561818032e-01 2.975894926550117642e-03
2.699999999999999969e-02 3.999696848126624293e-01 -4.924553874157777331e-03 7.998972591555792988e-01 2.686968982056033364e-03
2.800000000000000058e-02 3.999653823492423932e-01 -5.262406505046486258e-03 7.998922566096833275e-01 2.385811867459539798e-03
2.900000000000000147e-02 3.999606220961830494e-01 -5.612554893653491986e-03 7.998867915784326765e-01 2.072428076724817762e-03
2.999999999999999889e-02 3.999553717108147444e-01 -5.975001227113880403e-03 7.998808315633723076e-01 1.746822503093100470e-03
3.099999999999999978e-02 3.999495977028253435e-01 -6.349747817681693392e-03 7.998743429050989562e-01 1.409000463871043669e-03
3.200000000000000067e-02 3.999432654323979985e-01 -6.736797107711248872e-03 7.998672907805333132e-01 1.058967726100323165e-03
3.300000000000000155e-02 3.999363391082064734e-01 -7.136151674796889673e-03 7.998596392000079103e-01 6.967305331133403709e-04
3.400000000000000244e-02 3.999287817852606453e-01 -7.547814237074415566e-03 7.998513510041646013e-01 3.222956319803554209e-04
